Name,Price,Rating,Price cut
Airscape - The Fall of Gravity,12,79.1,56
Assassin Girls,12,76.34,76
Ballway,12,79.08,91
Barro 2020,12,79.38,91
Barro F,12,78.65,91
ConflictCraft,12,77.87,91
Cube Destroyer,12,81.17,91
Lovely Warriors,12,79.83,76
My Harem,12,81.07,76
Rock and Girls,12,79.21,76
Seen,12,89.9,84
Sport Girls,12,77.09,76
Bomb Bowling,13,76.58,90
Butterfly,13,76.97,90
Crash Wheels,13,82.02,90
For Evelyn,13,78.11,90
illie,13,77.15,87
Katana Soul,13,82.41,84
Pianistic,13,80.66,90
Portal of Evil: Stolen Runes Collector's Edition,13,84.97,90
Prison Run and Gun,13,85.14,90
QUICKERFLAK,13,83.3,90
QUICKERFLAK_RUTHLESSMOD,13,80,90
Razortron 2000,13,81.69,52
The Cassir Simulator,13,82.07,52
THE IMPOSSIBLE,13,80.58,90
Tomato Jones,13,77.84,90
TTV2,13,81.46,90
TTV3,13,79.83,90
TTV4,13,78.69,90
UBERMOSH,13,85.57,52
UBERMOSH + Original Soundtrack,13,85.84,90
UBERMOSH Vol.3,13,82.4,90
UBERMOSH Vol.5,13,86.4,90
UBERMOSH Vol.7,13,79.38,90
UBERMOSH:BLACK,13,78.14,90
UBERMOSH:OMEGA,13,84.48,90
Cute Dogs,14,82.8,48
Hammer 2,14,80.79,89
keyg,14,78.01,89
LYSER,14,80.32,52
Munin,14,78.41,89
5,15,77.27,50
6,15,79.87,50
ADVERSE,15,78.76,90
ALILIA 亚利利亚的精灵们,15,83.26,50
aMAZE 2,15,81.16,48
Argonauts Agency: Pandora's Box,15,77,90
BalloonBoyBob,15,79.83,50
BULLET PARTY,15,83.42,50
Cats War,15,81.08,50
Chess Valley,15,77.62,50
Choco Pixel 2,15,77.4,75
Conan the mighty pig,15,85.62,48
Consummate:Missing World 寇莎梅特：困世迷情,15,89.86,50
Dark Flowers,15,76.62,50
DOKA 2 KISHKI EDITION,15,82.03,50
Don't Crash - The Political Game,15,83.69,75
Drift86,15,88.33,75
Endless Furry Killer 2020,15,80.66,50
Endless Furry Killer 3D,15,78.04,75
Escape Game,15,76.13,50
Exertus,15,79.58,75
Fencing Girl,15,78.8,50
Fishing Together,15,76.34,50
Gachi Heroes,15,90.07,50
Gachi Heroes 2: Flexboll,15,77.13,50
Geometry Rush,15,78.7,50
Goddess of Hentai,15,83.39,50
Hentai Beach,15,84.48,50
How To Bathe Your Cat: Impossible Mission,15,78.21,50
Inertia,15,79.72,50
Karting,15,81.73,75
Karting Grand Prix Minigame,15,77,50
KNIGHTS,15,88.48,48
LaserCat,15,82.92,48
LightBall,15,79.39,50
Linked,15,85.59,50
Love In Drawing,15,79.02,50
My Stunt Life,15,76.72,50
Mystical Island,15,77.41,75
Oh My Gore!,15,80.21,75
One Line: Letters and Codes,15,77.92,50
Out There Somewhere,15,90.03,50
Pay Me In Colors,15,77.87,50
PEG,15,82.63,48
Phoenix Force,15,79.11,50
Pleasure Puzzle:Sexy Girls 趣拼拼：性感少女,15,76.86,50
Pleasure Puzzle:Workshop 趣拼拼：拼图工坊,15,82.04,50
Queen of the flies 蝇后,15,85.81,50
Rampage Miami,15,79.12,50
Riaaf The Spider,15,78.04,48
RUN OR FIGHT,15,76.58,50
Samozbor ID:HEAVEN,15,76.82,50
Sins Of The Demon RPG,15,79.89,48
Space Codex,15,76.79,48
