,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName,collectionArtistViewUrl,contentAdvisoryRating
0,track,song,3996865,1572046434,1572046438,Metallica,Metallica (Remastered),Sad But True,Metallica (Remastered),Sad But True,https://music.apple.com/us/artist/metallica/3996865?uo=4,https://music.apple.com/us/album/sad-but-true/1572046434?i=1572046438&uo=4,https://music.apple.com/us/album/sad-but-true/1572046434?i=1572046438&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d8/fe/cd/d8fecdde-60cf-0a4b-29fc-bc97cbbd9e09/mzaf_8546621644410159846.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/9e/80/1b/9e801b06-67fa-0990-2d15-85480ad3cd46/850007452025.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/9e/80/1b/9e801b06-67fa-0990-2d15-85480ad3cd46/850007452025.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/9e/80/1b/9e801b06-67fa-0990-2d15-85480ad3cd46/850007452025.png/100x100bb.jpg,9.99,1.29,1991-08-12T12:00:00Z,notExplicit,notExplicit,1,1,11,2,324600,USA,USD,Metal,True,,,,
1,track,song,3996865,579372950,579373080,Metallica,Metallica,Sad But True,Metallica,Sad But True,https://music.apple.com/us/artist/metallica/3996865?uo=4,https://music.apple.com/us/album/sad-but-true/579372950?i=579373080&uo=4,https://music.apple.com/us/album/sad-but-true/579372950?i=579373080&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f2/fc/51/f2fc511a-32e8-9828-4eda-b856bcd64d92/mzaf_10119373834251519507.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/18/93/db/1893db5c-ddd1-b95c-3112-b9b83bcceab0/0093624986553.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/18/93/db/1893db5c-ddd1-b95c-3112-b9b83bcceab0/0093624986553.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/18/93/db/1893db5c-ddd1-b95c-3112-b9b83bcceab0/0093624986553.jpg/100x100bb.jpg,9.99,1.29,1991-08-12T07:00:00Z,notExplicit,notExplicit,1,1,12,2,324573,USA,USD,Metal,True,,,,
2,track,song,3996865,579377398,579377571,Metallica,S&M (Live),Sad But True,S&M (Live),Sad But True (Live with the SFSO),https://music.apple.com/us/artist/metallica/3996865?uo=4,https://music.apple.com/us/album/sad-but-true-live-with-the-sfso/579377398?i=579377571&uo=4,https://music.apple.com/us/album/sad-but-true-live-with-the-sfso/579377398?i=579377571&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/31/93/d9/3193d909-3060-a7b1-f213-e5db99f485e0/mzaf_14371201556626837646.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/7f/32/0b/7f320b20-9dd8-832f-4680-9ad914e5629d/0075596246361.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/7f/32/0b/7f320b20-9dd8-832f-4680-9ad914e5629d/0075596246361.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/7f/32/0b/7f320b20-9dd8-832f-4680-9ad914e5629d/0075596246361.jpg/100x100bb.jpg,14.99,1.29,1999-11-23T08:00:00Z,notExplicit,notExplicit,1,1,21,18,346267,USA,USD,Metal,True,,,,
3,track,song,3996865,687785110,687785120,Metallica,Live Shit: Binge & Purge (Live In Mexico City),Sad But True (Live),Live Shit: Binge & Purge (Live In Mexico City),Sad But True (Live),https://music.apple.com/us/artist/metallica/3996865?uo=4,https://music.apple.com/us/album/sad-but-true-live/687785110?i=687785120&uo=4,https://music.apple.com/us/album/sad-but-true-live/687785110?i=687785120&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3c/3b/98/3c3b9812-d930-95b7-505a-95bfc2742cc4/mzaf_6844907311288897301.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/16/9a/c7/169ac749-5acd-5f9d-c70e-a397ee92411c/dj.jyktscwl.png/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/16/9a/c7/169ac749-5acd-5f9d-c70e-a397ee92411c/dj.jyktscwl.png/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/16/9a/c7/169ac749-5acd-5f9d-c70e-a397ee92411c/dj.jyktscwl.png/100x100bb.jpg,15.99,0.99,1993-11-23T12:00:00Z,notExplicit,notExplicit,1,1,24,5,367107,USA,USD,Metal,True,,,,
4,track,song,391885107,1537836670,1537836673,The Hu,Sad but True - Single,Sad but True,Sad but True - Single,Sad but True,https://music.apple.com/us/artist/the-hu/391885107?uo=4,https://music.apple.com/us/album/sad-but-true/1537836670?i=1537836673&uo=4,https://music.apple.com/us/album/sad-but-true/1537836670?i=1537836673&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/94/2f/88/942f88e8-4ab9-827c-00c7-c522d7275339/mzaf_15049330575314699111.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/e1/da/88/e1da886c-ec03-f83e-a77b-825e4c00a9f3/849320098409.png/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/e1/da/88/e1da886c-ec03-f83e-a77b-825e4c00a9f3/849320098409.png/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/e1/da/88/e1da886c-ec03-f83e-a77b-825e4c00a9f3/849320098409.png/100x100bb.jpg,1.29,1.29,2020-12-04T12:00:00Z,notExplicit,notExplicit,1,1,1,1,332852,USA,USD,Metal,True,,,,
5,track,song,411644,1646532606,1646532612,Apocalyptica,Plays Metallica by Four Cellos,Sad but True,Plays Metallica by Four Cellos,Sad but True,https://music.apple.com/us/artist/apocalyptica/411644?uo=4,https://music.apple.com/us/album/sad-but-true/1646532606?i=1646532612&uo=4,https://music.apple.com/us/album/sad-but-true/1646532606?i=1646532612&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/46/ae/4e/46ae4e21-eb61-1381-67d5-9ebf706c20e3/mzaf_4646746735314699998.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/74/66/08/746608a8-8d00-9f0e-ba9c-db44d900f09c/4260341640907.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/74/66/08/746608a8-8d00-9f0e-ba9c-db44d900f09c/4260341640907.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/74/66/08/746608a8-8d00-9f0e-ba9c-db44d900f09c/4260341640907.png/100x100bb.jpg,7.92,0.99,1996-05-13T12:00:00Z,notExplicit,notExplicit,1,1,8,5,288307,USA,USD,Rock,True,,,,
6,track,song,79973645,130207798,130207902,Eric Lindell,Change In the Weather,Sad But True,Change In the Weather,Sad But True,https://music.apple.com/us/artist/eric-lindell/79973645?uo=4,https://music.apple.com/us/album/sad-but-true/130207798?i=130207902&uo=4,https://music.apple.com/us/album/sad-but-true/130207798?i=130207902&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/56/e6/2b/56e62b9e-f083-6674-fcd0-df1308b2b89a/mzaf_15689120199839619762.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7d/e5/69/7de56980-d947-e843-98f6-ce2f4fea5ac9/mzi.sgmgosnz.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7d/e5/69/7de56980-d947-e843-98f6-ce2f4fea5ac9/mzi.sgmgosnz.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7d/e5/69/7de56980-d947-e843-98f6-ce2f4fea5ac9/mzi.sgmgosnz.jpg/100x100bb.jpg,9.99,0.99,2002-01-01T12:00:00Z,notExplicit,notExplicit,1,1,14,10,185587,USA,USD,Rock,True,,,,
7,track,song,301599804,1572050303,1572050312,Jason Isbell and the 400 Unit,The Metallica Blacklist,Sad But True,The Metallica Blacklist,Sad But True,https://music.apple.com/us/artist/jason-isbell-and-the-400-unit/301599804?uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050312&uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050312&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c8/43/34/c84334f0-2419-8ada-93cb-f510dd1955e5/mzaf_11198727935916055264.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/100x100bb.jpg,47.99,1.29,2021-06-29T12:00:00Z,notExplicit,notExplicit,4,1,13,8,270280,USA,USD,Hard Rock,True,3996865.0,Metallica,https://music.apple.com/us/artist/metallica/3996865?uo=4,
8,track,song,198271209,1572050303,1572050406,St. Vincent,The Metallica Blacklist,Sad But True,The Metallica Blacklist,Sad But True,https://music.apple.com/us/artist/st-vincent/198271209?uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050406&uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050406&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/93/87/e0/9387e091-3f34-eb37-3ede-914fa5bed6f3/mzaf_3815818099099110997.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/100x100bb.jpg,47.99,1.29,2021-06-29T12:00:00Z,notExplicit,notExplicit,4,1,13,11,252453,USA,USD,Hard Rock,True,3996865.0,Metallica,https://music.apple.com/us/artist/metallica/3996865?uo=4,
9,track,song,396425343,1572050303,1572050314,Royal Blood,The Metallica Blacklist,Sad But True,The Metallica Blacklist,Sad But True,https://music.apple.com/us/artist/royal-blood/396425343?uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050314&uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050314&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/03/f0/44/03f044f9-3c56-1a80-1775-de4e06d99bed/mzaf_10045315075125965002.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/100x100bb.jpg,47.99,1.29,2021-08-18T12:00:00Z,notExplicit,notExplicit,4,1,13,10,328813,USA,USD,Hard Rock,True,3996865.0,Metallica,https://music.apple.com/us/artist/metallica/3996865?uo=4,
